Verse Text
"Mimi ninahendza mumanye viryahu ambazho ninahenda kazi kwa chadi kwa ut'u wenu na kwa ut'u wa o at'u mariomukuluhira Masihi ko Laodikia, na kwa ut'u wa o angine osi mario k'amadzanona na matso."
"Lengo rangu ni kuhakikisha kukala madzangizwa moyo na ma kit'u kimwenga kwa kuko kuhendzana. Ninahendza makale na hakika kamare-kamare na kila kit'u kukirira na kuko kumanyat'o iyo siri ya Mulungu, ambayo siri ii ni iye Masihi mwenye."
Na ni kahi za Masihi h'akeye ndo funadima kukala alachu na fukang'alirwa ni wo uv̱oro wa Mulungu uriwo una th'amani bomu.
"Ninamwambira maut'u gaga, ili hasidze mut'u akamukenga na maneno madzo-madzo hatha mukagwira go mafundisho ga ulongo."
"Idzaho mimi ni kure nanwi, moyo wangu u kuko kwenu. Nina raha kwa viryahu nirizhopata habari kukala mu kit'u kimwenga na kidza mudzagwira kumukuluhira Masihi hasiho kulola nyuma."
"Bai vizho murizhomukubali Masihi akale Bwana wenu, endererani kuishi here at'u mariomukuluhira Masihi Jesu mav̱iryazho kuishi."
"At'u ninwi mwaukuluhira wo uv̱oro wa jeri wa Masihi na mukiugwira ngwa dza here muhi uriwo na miziji mire. Bai endererani kumukuluhira na kidza garyahu murigofundishwa ho chaho dzuluze, bai endererani kugagwira kuno munamulazhira Mulungu muv̱era munji kwa gago arigomuhendera."
"Musiriche mut'u akamwangamiza v̱uv̱a na elimu isiyo mana. Maut'u gaga ganaoneka kukala ni ulachu, ela ko sozho. Gago ni mafundisho ga mudamu, na ni maadha ga kidhunia, si kula kwa Masihi bule."
"Mana mafundisho ga Masihi ni ga ujeri, kwa kukala ye Masihi ariyezhalwa na akiishi haha dhuniani bai ni Mulungu kamare-kamare na ana nguvu zosi."
"Bai kwa kukala ninwi na Masihi mu kit'u kimwenga, muna kila kit'u kidimacho kumwaviza kiroho. Kwani kila aina ya nguvu iriyo haha urumwenguni i ts'ini za Masihi."
"Ninwi murihomukuluhira Masihi, iye wazimboza ziryahu nguvu zirizokala zikimwangiza th'amaa mbii dza viryahu konde ritoswazho na kutsufwa wakathi mut'u angizwaho lwembeni."
Kwani wakathi murihobat'izwa mwakala here kwamba mudzazikwa hamwenga na Masihi na mukifufuka hamwenga naye kwa kukala mwakuluhira kahi za zo nguvu za Mulungu zirizomufufula Masihi.
"Mwakala mwafwa kiroho kwa zizo dambi, na mwere munathawalwa ni th'amaa zenu mbii. Bai Mulungu akimufufula hamwenga na Masihi. Akihusamehe dambi zehu zosini furizokala fwazihenda."
Mulungu wahala iryahu k'esi yehu akiitsuha. Wahala garyahu mashithaka gehu gosi furigokala funago na akigafuta wakathi uryahu Masihi arihosulubiwa musalabani.
"Bai kukirira na kuko kusulubiwa kwa Masihi, Mulungu wazizhoga-zhoga ziryahu nguvu mbii zirizokala zinathawala. Wazihoka wadimi na akizigwiza aibu lwazu-lwazu."
"Kwa vizho k'ahana cha mut'u kumwamba ati ni makosa kurya chakurya fulani hedu kunwa kinywaji fulani. Na kidza k'ahana cha mut'u kumwamboza makosa kwa kukala k'amusherehekea zo sherehe za Kiyahudi, here siku ya kuzumwa mwezi na siku za sabato."
"Maut'u gaga gosi were ni here kivurivuri cha mut'u thu, ela ye mut'u mwenye ni iye Masihi ariyekudza."
"At'u masimuhendye mukakosa yo zawadi yenu kwa kumwamba ati suthi mudzitsereze na muavoye malaika ndo muipate yo zawadi. Manadzionya na kuamba maona maono dzulu za maut'u gaga. Ela kudzionya kwao k'akuna mana, kwa kukala gago madzionyerago ni maut'u marigogazhala enye. Manadzihendya at'u mario nikudzitsereza, ela ko sozho."
"At'u dza vivi aa k'amakit'u kimwenga na iye Masihi, ambaye nde kitswa. Na cho kitswa ndicho kidzichogwirana na uwo mwiri. Na zho vilungo vidzagwizanywa hamwenga na iyo misihaye na bai vinakula kulengana na zho ahendzazho ye Mulungu."
"Ninwi mwafwa hamwenga na Masihi, naye akimwika huru na maadha ga kidhunia. Viandzadze kaheri muchere kuthuwa sheria dza zizi za,"
"“Usigwire kit'u fulani,” “Usirye chakurya fulani” na “Usithathe kugut'a kit'u fulani”?"
Sheria dza zizi ni za kibinadamu na zinahusu vit'u ambazho vikihumirwa nikukira.
"Kwa ndze sheria zizi zinaonekana kukala ni mbidzo kuthuwa, kwa kukala zinamuhendya mut'u aonekane here kwamba adzadzambozeza kwa Mulungu kamare. Anadzitsereza na hatha anadzilasha-lasha vit'u. Ela bai sheria zizi k'azina nguvu za kumuhendya mut'u ashinde th'amaa mbii za wo mwiriwe."
