Verse Text
"Vikara, kahi za gaga maneno gosi fuganenago haha, kit'u kibomu ni kukala, funa mulombi mubomu mwenye kuko dzulu mulunguni. Mulombi yuyu akelesi mukono wa kurya wa kihi cha kithawali cha Mulungu mwenye nguvu dzulu ya zhosi."
"Anahenda kazi ya ulombi kahi za ho hat'u haeri, ndani ya ro hema ra jeri ririroakwa ni Bwana mwenye, si hema ririroakwa ni mudamu."
"Kwa kukala kila mulombi mubomu nikutsagulwa ili amwambozere Mulungu zawadi na sadaka, mulombi wehu mubomu naye ni hatha akale na ut'u wa kumwambozera Mulungu."
"Kalaho mulombi yuyu be a haha dhuniani, ngere si mulombi bule, mana haha be hana alombi mambozao zawadi kwa Mulungu kuthuwana na Sheria ya Kiyahudi."
"Yo kazi ya ulombi maihendayo haha, be ni mufano wa yo iriyo kahi za ho hat'u haeri kuko mulunguni. Kwani hatha Musa naye arihokala anamala kuaka ro hema, Mulungu wamulagiza akiamba, “Hakikisha kukala kila kit'u unakitengeza kulengana na wo muundo uriwowanyeswa ko dzulu murimani.”"
"Ela here fuonazho, kazi ya ulombi ariyoigerwa Masihi ni bomu zhomu kukira yo yao. Na hatha cho kilagane akiimiriracho nacho, ni kidzo kukira cho cha kapindi. Kwani maut'u garigolagwa kahi za kilagane kiki ni madzo zaidhi."
"Kwani kala cho kilagane cha kwandza were k'akina kaila kokosi, ngere k'akukakalire na haja ya kilagane cha hiri."
"Ela Mulungu waona kukala at'ue mana makosa ndo hatha akiamba,"
"Bwana anaamba kukala,"
"Bwana anaamba kukala,"
"Kundakala k'akuna haja ya mut'u kumufundisha mwandziwe kumwamba,"
"Mana nindaaonera mbazi, niasamehe dambi zao,"
"Bai Mulungu arihonena dzulu za kilagane kisha, were adzaona kukala kiryahu cha kapindi kidzauya k'akifwaha kaheri. Na ut'u uriwo udzathumika hatha k'aufwaha kaheri u thayari kwangamika."
