Verse Text
"Bai ni kit'u chani kino kitumacho hatha munanenezana na kugwadulana-gwadulana? H'aya, kit'u kirehacho maut'u gago ni kiki: Ninwi kahi za mioyo yenu munavufwa kuno na kuno ni th'amaa mbii zidzizomwadzala."
"Munathamani vit'u na k'amuvipata, ndosa munalagana. Munamizira mahe vit'ungwa, ela k'amuvipata, ndosa munagwaga k'ondo na kuheha. Chausa kitumacho hatha k'amuna murizho ni kwamba k'amumuvoya Mulungu zho vit'u vizho."
"Na hatha mumuvoyaho Mulungu, k'amupata kit'u, mana ninwi chamba munavoya nikukala mudzapanga kare mukipata zho vit'u mundavihumira kudzifwahiza enye."
"Ii, hatha mu here azindzi t'i. Vino be k'amumanya kukala mukiugwira usena wo urumwengu mundakala mahadhui a Mulungu? Mut'u yoyosi augwiraye usena uu urumwengu kwa kuthuwa maut'uge, k'adima kukala musena wa Mulungu."
"Samba munamanya kamare kukala Maoro gananena ujeri. Maoro ganaamba kukala, “Iye Roho wa Mulungu ariye ndani mwehu ana wivu, k'endzi mut'u mungine akale mo moyoni bule.”"
"Ela bai Mulungu nikuhuonera mbazi sana, ndosa Maoro ganaamba,"
"Kwa vizho bai, dzitserezeni kwa Mulungu. Mupingeni Shethani naye andachimbira."
"Musongerereni hehi Mulungu, naye andamusongerera hehi. Nwi enye dambi, h'aya gatsuseni maisha genu. Nwi murio muna mioyo miri-miri, h'aya itsuseni mioyo yenu mudime kuthuwa umwenga."
"Shikithikani, na murire. Musipige kw'akw'a bule, ela rirani. Yo raha yenu naigaluke mukale na kigondzi!"
Dzitserezeni kwa Bwana Mulungu naye andamwanula.
"Ndugu zangu, musinenane bule. Kwani mut'u amunenaye vii mwandziwe hedu hatha kumwamboza makosa, be nikukala anainena vii yo sheria na kuyomboza makosa. Nawe chamba yo sheria unayomboza makosa, h'aya be kuithuwa bule, unayomboza makosa."
"Alazhaye sheria ni mumwenga thu, naye ni Mulungu. Iye nde ariye anadima kuhukumu. Mulungu nde adimaye kumwakola mut'u hedu kumwanonga-nonga kare na kare. H'aya, we mudamu u h'ani hatha umuhukumu mwandziyo?"
"Vikara sirikizani ninwi at'u murio mudzazowera kuamba, “Vivi rero hedu machero fundauka fwende safari hatha mudzi fulani. Kuko, fundakukala mwaka muzima kuhenda biashara ya kwangiza p'esa.”"
"Vidze munamanya machero mundalamuka azima? Ninwi mu here kunje thu. Kunje ni kugit'ana kwa muda, gonya ukahenda kuona ridzangamika kare."
"K'amuona h'e, karakara mungaamba vivi, “Mulungu ahendzaho, chamba fu azima, fundahenda vivi na vivi.”"
"Ela ninwi, so muhendazho, hat'uhe munadzihendya kumanya sana. Kudzionya kuku bai ni kui."
"Mut'u yoyosi amanyaye riro ridzo av̱iryaro kuhenda, gonya ko k'andarihenda, nikukala anahenda dambi."
