Verse Text
"Bai nagerwa mudhath'a wa kupimira, gonya nikiambwa, “Enda ukaripime ro Hekalu ra Mulungu, na cho kijaja cha kumbozera sadaka, na uthale o at'u mavoyao mumo."
"Ela wo muhala uriwo ndze ya ro Hekalu usiupime bule kwa kukala uwo wagerwa at'u mario si Ayahudi. Nao mandauzhoga-zhoga wo mudzi mueri wa Jerusalemu kwa muda wa miezi mirongo mine na miri (siku 1,260)."
"Na nindaap'a wadimi mashahidhi angu airi, nao mandamboza unabii kwa muda uwo wa siku alifu mwenga na magana mairi na mirongo mihandahu (1,260). Mashahidhi ao mandakala madzavala magunia.”"
Na mashahidhi aa airi ni yo mihi miri ya mizeituni na zho viguzo viri zha kuikira mataa viimirezho mbere za Bwana wa dhunia ndzima.
"Na mo makanwani mwao munambola moho. Na kila hadhui ajezaye kuahenda mai, moho uwo nikumbola mo makanwani mwao na kumuocha tse-tse-tse. Vizho ndo at'u osi mandiojeza kuahenda mai mandizhofwa."
Ao mana wadimi wa kugwira v̱ula isinye wakathi wa kumboza unabii wao. Kidza mana wadimi wa kugagaluza madzi kukala milatso na kureha mapigo ga kila aina haha ts'i here mahendzazho.
"Na mandihogonya kumboza ushahidhi wao, kundambola rinyama kula ridzina risiro mwisho. Rinyama riri rindagwaga k'ondo nao. Rindaheha nao na rindaadhima rialage."
Na miri yao indagwagwa kahi za ngira bomu za mudzi mubomu ambako ndo arikosulubiwa Bwana wao. Na mudzi uwo kimafumbo unaifwa Sodomu na Misiri.
"Miri iyo indalolwa kwa muda wa siku t'ahu na nusu ni at'u a kila ts'i na kabila, na kila kidhyomo na taifa k'amandaruhusu ikazikwe bule."
Na o matoao dhuniani mandaererwa kwa ut'u wa zho vifwa zha aa manabii airi. Mandasherehekea na magerane zawadi kwa kukala manabii aa airi maasirinya sana at'u matoao dhuniani.
"Ela bada ya zizo siku t'ahu na nusu, Mulungu akiavivira muhuyewe wa uzima na makirungarara kaheri. Bai aryahu marioaona na matso gao mangirwa ni woga sana."
"Gonya kuchambola sauthi bomu kula mulunguni ikiambiriza, “Ndzoni kuno dzulu!” Bai makihalwa ni ingu machenda mulunguni kuno mahadhui ao manalola."
"Na wakathi uwo wenye ts'i ikithukuka ut'u wa kwangalaza. Sehemu mwenga ya sehemu kumi za wo mudzi yagwa na ikilaga at'u alifu fungahe. O at'u mariothia, mangirwa ni woga na makimup'a nguma Mulungu ariye dzulu mulunguni."
"K'uzhona zho pigo ra hiri rikikala ridzakira, ela lola ro ra hahu be rinadza vikara zhenye."
"Gonya ye malaika wa fungahe akipiga gundare. Nikisikira sauthi bomu ko mulunguni zikinena zikiamba,"
"Na o azhere mirongo miri na ane makeresio dzulu ya vihi zhao zha endzi mbere za Mulungu, madzigwaga na moyo makimuvoya Mulungu."
"Makiamba,"
"At'u mario si Ayahudi mana k'oro,"
Gonya ro Hekalu ra Mulungu kuko mulunguni rikivugulwa na ro Sanduku ra Kilagane rikionewa mumo. Kidza kukikala na lumethe na sauthi na kigwaragwara. Ts'i ikithukuka na kukinya v̱ula nyinji ya mawe.
