Verse Text
"Kwa vizho bai ndugu zangu, kwa ut'u wa mbazi nyinji arizofwanyesa Mulungu, ninamuvoya sana kukala mumboze miri yenu here sadaka iriyo moyo, eri, na ya kukubalika mbere za Mulungu. Kwani kuko be ndo kumuvoya Mulungu kwa jeri kiroho."
"Musigwire mitindo ya urumwengu bule. Mulungu naamuhendye at'u asha kwa kumugaluza maazo genu. Vivi vindamuhendya mumanye mahendzoge, yani mundamanya ut'u udzo wa kukubalika, na uriwo kamili mbere za Mulungu ni hiwo."
"Kulengana na yo nema ariyonip'a Mulungu, namala nimwambe kila mumwenga wenu kukala: Mut'u asidzione kukala iye ni kit'u sana, hatha kukira zho arizho. Ela naakale na kiasi kahi za maazo ga kwakwe, na adzipime kulengana na kiasi cha kuluhiro aricho Mulungu wamujalia kila mut'u."
"Kwani mwiri ni mumwenga, ela una vilungo vinji, na kila kilungo kina kaziye."
Na vizho ndo virizho hatha kwehu siswi. Fu anji jeri ela fwagwizanywa fukikala mwiri mumwenga kahi za Masihi. Kwa vizho kila mut'u ni kilungo kahi za vilungo vingine.
"Bai kulengana na nema ya Mulungu, fwap'ewa vigerwa tofauti-tofauti. Vigerwa vivi nafuvihumire. Chamba ni kumboza unabii, nafuumboze kulengana na ro kuluhiro ariro Mulungu wafujalia naro."
"Chamba ni uhumiki, nafuhumike. Chamba ni kufundisha, nafufundishe."
"Kala ni kuap'a at'u moyo, nafuap'e at'u moyo. Kala ni kuap'a at'u vit'u, nafuap'e kwa moyo mudzo. Chamba ni ulongozi, nafulongoze kwa chadi. Chamba ni kuonera mbazi at'u na kuaviza, nafuvihende kwa furaha."
"Mahendzo genu nagakale mahendzo ga jeri. Gwirani maut'u madzo mugazulie, ela maut'u mai garicheni."
"Hendzanani here ndugu, na kila mut'u naamuheshimu mwandziwe kukira ye mwenye."
"Musikale akaha bule, kalani na moho rohoni mwenu kahi za kumuhumikira Bwana."
"Kalani na raha kwa ut'u wa ro tumaini muriro naro. Vumirirani mashaka, na muvoye kwenda-kwenda."
Mbozani kwa ut'u wa mahumizi ga at'u a Mulungu. Kidza karibishani ajeni t'ot'ot'o siku zosini.
"At'u makimutesa, avoyereni madzo, musiavoyere mai bule."
"Furahini hamwenga na mafurahio, na huzunikani hamwenga na mahuzunikao."
Ishini na masikizano kahikahi zenu. Musidzihalire at'u a dzulu. Gwiranani na at'u a kawaida na musidzione kukala munamanya.
"Mut'u akikuhendera ut'u uwi, usimurihe vii bule. Aza kwandza umanye ni ut'u wani udimao kumufwaha kila mut'u."
"Kwa upande wenu, jezani mwadimazho kuishi na dheri na at'u osi."
"Ahendzwi, musirihize bule, ela zirichireni nafasi k'oro za Mulungu. Kwani Maoro ganaamba kukala, “Bwana anaamba, kurihiza nirichirani, mimi nindarihiza.”"
"Ee, “Hadhuio akikala ana ndzala mup'e chakurya arye, na kala ana k'ihu mup'e madzi anwe. Ukihenda vizho undakala ni here udziyemuhika makala ga moho.”"
"Musishindwe ni uwi, ela ushindeni uwi kwa kuhenda madzo."
