Verse Text
"Akumbukize at'uo madzitsereze kwa athawali osi. Nimaasikize, na kidza makale thayari kuhenda kila ririro ridzo."
"Ambirize kwamba masimunene vii mut'u yoyosi na masinenezane, ela hat'u ha vizho nimakale ap'ore kwa at'u osi, na mamuheshimu kila mut'u."
"Kwani siswi naswi were fu azuzu na k'ahusikira. Were fwangamizwa v̱uv̱a, na kidza were fu atumwa a maut'u mai-mai gahendzwago ni mwiri na th'amaa mbii-mbii. Fahumira maisha gehu kuaazira at'u mai na kuaonera kidzitso, kidza at'u makihumena naswi hukiamena."
"Ela mbazi na mahendzo ga Mulungu mwokoli wehu virihonyeswa lwazu kwa anadamu,"
"akifwakola. Si kwa ut'u wa mahendo madzo hurigogahenda, ela ni kwa mbazize. Akifwakola kwa kuhugesa, ambako kukirira na kuko, Roho Mweri anahup'a kuzhalwa lusha na mitoere misha."
"Mulungu wafuhumira Roho Mweri kukirira kwa Jesu Masihi mwokoli wehu bila kipimo,"
"ili siswi huriohendywa ahachi kwa iyo nema ya kwakwe, fuhendywe fuupate uryahu uzima wa kare na kare furio na th'amaa nao."
"Bai gaga nidzigokwambira be ganakuluhirika. Nikahendza uone kukala at'u manang'alirwa ni mafundisho gaga, ili aryahu mamukuluhirao Mulungu mahakikishe kukala manahenda mahendo madzo. Maut'u gaga ni madzo na gandamufwaidhisha kila mut'u."
"Ela dziike kure na k'anani zisizo mana, na minyilili mire ya akare. Usinenezane na at'u kamare hedu kukosana dzulu za yo Sheria ya Kiyahudi. Maut'u gaga k'agana mana na k'agana faidha yoyosi."
"Mut'u ariye anaagazha-gazha andziye, mukanye lwa kwandza, akikala k'arichire, mukanye lwa hiri na akikala k'asikira muriche."
Kwani mut'u dza yuyu unamanya kukala ana dambi na adzanongeka kidza anadzipiga ulongo mwenye.
"Nindihomuhuma Aritema kwako hedu Tukiko henda chadi unidzirire ko Nikopoli, kwani kuko ndiko nidzikopanga kukizira yo p'eho ya mwaka."
"Henda here udimazho na umwavize ye mwanasheriaZena hamwenga na Apolo kahi za charo chao, ili masitsowe kit'u."
"At'u ehu masiishi maisha garigo k'agana faidha, ela hat'u ha vizho ni madzambozeze kamare kahi za kuhenda madzo. Ni maasaidhie aryahu mario mana mahitaji ga mana."
"At'u osi mario hamwenga nami haha, madzakulamusa. H'aya, naswi hulamusire aryahu mario manahuhendza na manamukuluhira Masihi dza siswi. Bai nema naikale hamwenga nanwi nyosini."
