Verse Text
"Kwa ut'u uwo bai, uwo ujeri furiwousikira, nafukaze kuugwira ngwa kamare, p'ore fukauricha fukathuwa maut'u mangine."
Wo uv̱oro uriworefwa ni malaika wakala ni wa jeri hatha kila mut'u ariye k'augwirire hedu kuuthuwa wangizwa akili kihachi kulengana na makosage mwenye.
"Vidze vindakaladze kala k'ahundaujali wokolwi uno ubomu vino? Ni lwazu kukala kala k'afundaujali, k'afundathia bule. Ho kwandza, wokolwi uu watangazwa ni Bwana mwenye, gonya aryahu mariousikira makidzafuhakikishira kukala ni wa jeri."
"Na wakathi uwo vizho, Mulungu akimboza ushahidhiwe. Iye wahenda miujiza minji tofauti-tofauti, na akilazha vigerwa zha Roho Mweri here arizhohendza iye mwenye."
"Kwani hatha uwo urumwengu fuunenawo haha, uwo urumwengu udzawo, Mulungu k'apangire kukala malaika ndio mandiothawala."
"Na Maoro ganamboza ushahidhi dzulu ya vivi. Kwani hana hat'u haambaho kukala,"
"Uwe wamuhendya akale muthithe kukira malaika kwa muda,"
ukiika kila kit'u kikale ts'inize.”
"Ela fukimulola Jesu, funaona kukala wahendywa akale muthithe kukira malaika kwa muda. Kwa udzo ariwo nawo Mulungu, Jesu akiafwerera at'u osi. Na kwa ut'u wa go mateso arigogapata kahi za kifwa, Mulungu akimup'a nguma na ishima bomu."
"Kwani Mulungu ariyeumba vit'u zhosi kwa ut'u we iye, wahenda karakara kamare kumwangiza Jesu kahi za mateso ili akadime kuareha ana anji kahi za ngumaye. Kukirira na mateso gaga Mulungu wamuhendya Jesu akale kamili na athoshe kualongoza at'u aangize kahi za wokolwi."
"Mana iye Jesu aahendaye at'u makale aeri, na ao at'u mahendywao aeri, osi babiyao ni mumwenga. Ndosa Jesu k'ana haya kuaiha nduguze."
"Kwani wanena akiamba,"
"Iye kaheri anaamba kukala,"
"Na kwa kukala o ana a Mulungu, ni anadamu a kawaida enye miri na milatso, Jesu naye wakudzazhalwa na mwiri na milatso here mudamu wa kawaida. Na kukirira na cho kifwa cha kwakwe, Jesu were andadima kumwanonga-nonga Shethani ariye were ndiye mwenye nguvu dzulu za kifwa,"
na aarichire huru at'u osi mariokala ni atumwa kahi za maisha gao gosi kwa ut'u wa kugoha kifwa.
"Kwani vi lwazu kamare kukala iye wakudzaaviza at'u a lukolo lwa Burahemu, k'adzire aviza malaika!"
"Kwa vizho were ni karakara kamare Jesu akale here nduguze kahi za kila ngira. Naye wakala vivi ili kwamba adime kukala mulombi mubomu mwenye, mwaminifu na wa mbazi kahi za kumwambozera Mulungu sadaka ya kuausiza dambi at'u osi."
"Na kwa kukala Jesu wateswa na akijezwa, iye ana wadimi wa kuaviza at'u majezwao."
