Verse Text
"Mimi ni kahi za Masihi, kwa vizho gaga niganenago haha be si ga ulongo bule, ni ga ujeri. Moyo wangu mino unathawalwa ni Roho Mweri, nawo una ushahidhi kamare kukala gaga niganenago ni ga ujeri."
"Ninashononeka zhomu, kidza nina utsungu usiwogoma kahi za moyo wangu,"
"nikiaza ndugu zangu Aiziraeli, at'u a lukolo lwangu lwenye. Kwani sikahere nikalaniwa ni Mulungu na kutoswa na Masihi kwa ut'u wao ao."
"Aiziraeli ni at'u mario Mulungu waatsagula akiahendya anae. Iye waanyesa ngumaye na akiika vilagane hamwenga nao. Kidza waap'a Sheria na ahadi, kidza akiafundisha kumuvoya."
"At'u a Mulungu here ano Burahemu, Isaka, na Jakobu ni at'u a kwao. Hatha Masihi naye kahi za udamu wa kwakwe wambola kahi za lukolo lulo. Iye ndiye athawalaye vit'u zhosi. Ni Mulungu, na naalikwe hatha kare na kare. H'aami."
"Nikinena vivi siamba kukala Mulungu k'athimiza vilaganezhe, hatha bule. Kwani si Aiziraeli osi mario ni atsagulwa a Mulungu."
"Kidza si at'u osi mariombola kwa Burahemu maifwao ana a Burahemu. Mana Mulungu wamwamba Burahemu, “Lukolo lwa kwako lundathalwa kula kwa Isaka.”"
"Vivi vinamanisha kukala, ana mariozhalwa kawaida k'amathalwa kukala ni ana a Mulungu, ela ana a ahadi ndo mathalwao kukala ni lukolo lwa Burahemu."
"Kwani Mulungu wamulaga Burahemu akimwamba, “Nindauya wakathi dza uu na Sera andakala ana mwana.”"
"H'aya, Rabeka naye wafunga mimba na mulume mumwenga, naye ni iye mukare wehu Isaka."
"Wakathi ahoho aa marihokala machere ndani, na k'amadzahenda ut'u wowosi udzo hedu uwi, Mulungu wamwamba Rabeka kukala, “Ye mukulu andamuhumikira ye muvaha.” Mulungu wahenda vivi ili anyese kukala, akimutsagula mut'u anamutsagula kwa lengo ra kwakwe mwenye na here arizhopanga mwenye kumwiha. K'atsagula mut'u kwa mahendoge madzo."
"Kwani Maoro ganaamba kukala, “Namuhendza Jakobu, ela Esau ye, nikimumena.”"
Vino vikara funadima kuamba kukala Mulungu k'ahenda hachi? Hatha bule!
"Mana iye wanena na Musa akimwamba,"
"Kwa vizho kutsagulwa kunategemea mbazi za Mulungu, k'akutegemea kuhendza kwa mut'u mwenye hedu chadiche."
"Kwani kahi za Maoro Mulungu wamwamba Farao kukala, “Nakuhendya muthawali ili nikuhumire kunyesa nguvu zangu na kumanyisa dzina rangu kahi za urumwengu muzima.”"
"Kwa vizho bai, Mulungu nikumuonera mbazi kila ahendzaye kumuonera mbazi. Kidza anadima kumuhendya mut'u yoyosi akale na singo nyomu here ahendzazho iye."
"Hangine unadima kuuza ukaamba, “Kala k'akuna mut'u adimaye kupinga mahendzo ga Mulungu, kwanoni Mulungu analaumu at'u na iye nde aahendyaye mahende zho ahendzazho?”"
"Ela we mudamu u h'ani hatha upigane k'anani na Mulungu? Vidze, ino nyungu inadima kumuza ye muumbi wa kwakwe ikaamba, “Kwanoni waniumba vino we?”"
"Samba yuno muumbi ana hachi ya kuhenda here ahendzazho. Iye anadima kuumba nyungu mbiri kula kwa ulongo umwenga. Nyungu mwenga ikakala ya mahumizi maalumu, na nyingine ikakala ya mahumizi ga kawaida thu."
"Na vivi be vi karakara na zho arizhohenda Mulungu. K'adzatsoka kuavumirira aryahu at'u mariomutsukiza, ario iye waathayarishira kwanongwa-nongwa. Naye arihohenda vivi were anamala k'oroze na nguvuze zidime kumanyikana."
"Kidza wahendza anyese yo nguma nyinji ariyo nayo, na ariyofup'a hatha siswi ariohendza kufuonera mbazi, yani siswi ariofuthayarisha kuhokera nguma ya kwakwe."
"Kwani siswi ndiswi ariofwiha, si kumbola kwa Ayahudi h'akeye, ela hatha kumbola kwa at'u mario si Ayahudi."
"Mana Mulungu wanena kukirira na nabii Hosea akiamba,"
"“Na kahi za haryahu hat'u marihoambwa,"
"Na hatha nabii Isaya wanena dzulu za Aiziraeli akiamba,"
"Kwani Bwana anadza hukumu urumwengu haraka,"
"Ndo haho kapindi Isaya wanena kimbere akiamba,"
"Kwa vizho zhenye bai, funadima fukaamba kukala o at'u mario si Ayahudi, mariokala were hatha k'amamala uhachi kwa Mulungu, vivi be mahendywa ahachi kukirira na kuko kukuluhira kwa kwao."
"Ela Aiziraeli mariokala manamala kukala enye hachi kwa kuthuwa Sheria o, k'amayadimire bule iyo Sheria."
"Vikara swali ni kwamba, kwanoni mashindwa? Jibure ni kwamba, Aiziraeli k'amapatire uhachi kwa kukala k'amaumalire kwa kukuluhira, maumala kwa mahendo gao, nawo k'aupatikana kwa mahendo bai. Bai kwa kuhenda vizho, makirikwala riryahu iwe ra kukwalwa."
"Here Maoro gaambazho,"
